JWT 0; JWT 1; JWT 2; JWT 3; JWT 4; PASETO 0; PASETO 1; PASETO 2; PASETO 3; PASETO 4; Fernet 0; Fernet 1; Fernet 2; Fernet 3; Fernet 4; Branca 0; Branca 1; Branca 2; Branca 3; Branca 4; Macaroon 0; Macaroon 1; Macaroon 2; Macaroon 3; Macaroon 4; Opaque 0; Opaque 1; Opaque 2; Opaque 3; Opaque 4; NONE 0; NONE 1; NONE 2; NONE 3; NONE 4; 
42,485631;44,629021;55,818597;54,740226;48,859962;59,638466;62,480108;54,229341;59,45633;61,888728;42,698595;45,756276;50,787108;45,009016;57,774673;85,437614;82,477485;85,641782;73,61937;82,450466;74,568034;64,613346;63,147955;65,488667;59,04271;-1;-1;-1;-1;235,231247;41,296498;40,476688;48,766878;38,502191;50,906611; 
25,862601;25,504247;25,824188;24,861036;25,783759;34,761291;34,913573;35,690827;36,552306;35,704807;24,440637;23,628268;24,400262;24,221463;24,258549;32,541802;32,594333;33,750642;33,774583;33,178747;35,197709;35,952659;36,451612;36,039648;35,748638;-1;-1;-1;-1;211,078483;20,550195;20,003342;20,627163;21,605372;20,665235; 
23,80463;24,398399;23,870994;23,072378;23,341832;32,151438;33,327257;32,472802;32,566251;33,415621;21,934746;22,148276;22,095603;22,048981;21,78946;30,205943;29,984668;29,408851;29,288243;30,25533;47,556644;46,757623;46,766483;47,046512;46,37562;-1;-1;-1;-1;205,872262;18,327654;18,462811;18,907073;18,393253;19,588968; 
26,01597;25,813422;25,747093;25,770767;26,466646;34,150168;33,251255;33,214323;33,253078;33,304254;25,655734;24,483961;25,783196;25,633759;24,524342;31,83118;32,722719;35,343671;34,669693;32,735628;31,972621;33,220987;34,732633;33,176204;35,230629;-1;-1;-1;-1;200,960465;19,900899;18,408049;18,580946;17,89053;18,369066; 
21,228339;22,663838;22,76785;22,665594;22,430296;29,162617;29,737621;29,431455;29,070033;30,584618;22,487773;23,979603;22,656135;22,805854;24,44555;28,092141;27,971439;25,344557;25,361242;27,292131;33,186643;31,420239;32,456403;31,463204;32,461237;-1;-1;-1;-1;196,662285;15,231988;17,13071;17,340747;16,207514;16,916904; 
40,047416;36,333988;20,947989;20,905221;36,312268;84,531531;72,02981;82,013828;79,419531;75,293594;24,052522;23,951414;24,071601;24,129825;23,580015;27,389649;27,35383;28,254492;28,206413;27,968739;34,3147;37,043826;34,75508;35,47803;34,75961;-1;-1;-1;-1;190,751303;15,919007;15,484985;15,05227;15,043726;15,132354; 
42,887881;45,40534;56,596215;55,619768;43,47147;103,410557;115,27158;103,120414;108,067238;108,527805;23,843945;24,254813;23,249316;24,622082;22,874653;30,682455;29,908793;30,856312;31,416696;31,159946;33,806552;33,630029;32,973261;34,5281;34,729048;-1;-1;-1;-1;209,56995;21,783786;19,491748;17,079996;19,752085;17,439608; 
44,035226;44,918461;46,270623;45,279256;42,991069;38,318326;39,578186;40,069207;39,634761;38,240892;23,528033;22,627737;24,285378;23,685429;22,72609;34,835016;34,005325;36,372238;36,183136;35,403901;35,106609;32,637282;32,302682;33,386415;30,671954;-1;-1;-1;-1;349,291887;40,759178;20,257416;19,146607;19,565398;18,904318; 
50,768159;52,104747;56,05821;55,481978;54,03647;38,790012;37,440288;37,528313;37,708905;37,366278;23,058085;21,626246;23,216196;22,726857;21,453945;38,145397;39,095147;39,203789;38,998881;39,552727;28,787812;29,6835;29,788214;29,377491;29,916287;-1;-1;-1;-1;200,729734;38,646542;50,74827;49,063202;53,718484;43,128672; 
23,002983;22,115072;22,247617;23,491738;21,954766;32,227698;32,491366;32,981125;32,238882;35,257056;23,165441;23,344115;22,748745;22,241412;24,104464;36,801766;37,244306;35,827733;36,721161;36,270708;30,443651;28,520832;29,295359;29,526639;28,530588;-1;-1;-1;-1;200,659503;48,068992;38,380784;41,735164;45,139363;39,362042; 
21,938932;21,721209;22,533345;22,291834;22,606088;37,443568;36,85523;38,278856;37,819888;36,013825;21,525122;21,429433;21,198734;23,017707;21,087705;40,475503;40,483586;43,263553;43,679223;42,946523;32,213901;30,772666;30,224805;30,513774;30,460712;-1;-1;-1;-1;210,93403;55,479262;70,958221;38,520857;60,504023;44,393897; 
24,837415;22,671735;23,290333;24,594272;23,023734;46,16761;43,402111;44,106234;45,828081;43,067229;25,19162;25,759301;24,327994;26,559782;25,024068;42,609796;42,859003;40,266493;42,169323;42,669496;31,384976;33,332801;35,217138;33,617479;36,279965;-1;-1;-1;-1;199,937124;18,971086;20,521441;49,569983;21,014313;51,97417; 
23,22254;25,59657;23,006824;23,942129;23,851739;45,367832;46,953209;47,020505;47,065697;45,691226;25,397024;27,580829;27,499814;26,198323;26,958333;42,056609;39,051898;38,664336;40,018749;42,15148;36,105744;38,422054;37,157916;36,810832;36,755417;-1;-1;-1;-1;198,962613;21,44245;22,94421;21,274545;22,815919;19,767633; 
25,888935;24,865174;24,544227;25,649797;25,451536;31,951776;32,716288;32,193712;32,220243;34,661122;22,642945;22,674002;22,643711;22,775019;22,908776;34,023257;33,845007;32,041434;31,190826;31,324253;29,362242;27,668904;27,37019;28,054498;27,066045;-1;-1;-1;-1;210,523621;18,625644;17,188622;19,03861;16,9706;21,146859; 
33,509307;30,823733;28,620426;28,930582;26,983373;37,828416;36,25159;36,390849;38,942182;36,338072;20,474639;21,2133;19,782607;20,082787;20,635691;34,834414;36,228566;36,225364;35,871085;37,343773;29,398473;29,842091;30,231323;29,651319;31,301354;-1;-1;-1;-1;205,048722;18,93783;19,53993;19,794796;20,433517;19,386753; 
